sku,design_family,design_name,status,matched_tags,approved_tags
"EVSX5PT5SGF425","EVSX5PT5SGF425","Evergreen Stained Glass Summer Flamingo Garden Flag",updated,"Margaritas | Party-Time","Birds | Daylilies | Flamingos | Flowers | Margaritas | Party-Time | Patterns | Seasonal | Stained-Glass | Summer | Sun | Tropical-Flowers"
"EVSX7GWPSHF425","EVSX7GWPSHF425","Evergreen Suede 2-Sided House Flag - Stained Glass Summer Flamingo",updated,"Margaritas | Party-Time","Birds | Daylilies | Flamingos | Flowers | Margaritas | Party-Time | Patterns | Seasonal | Stained-Glass | Summer | Sun | Tropical-Flowers"
"EVSXJ6Z7SGF425","EVSXJ6Z7SGF425","Evergreen Pool's Open Suede 2-Sided Garden Flag",updated,"Party-Time","Flip-Flops | Party-Time | Pool | Pool-Party | Seasonal | Summer"
"EVSXM2YGF25","EVSXM2YGF25","Evergreen B.E.E.R  Garden Flag",updated,"Beer | Party-Time","Beer | Party-Time"
"EVSXSGGSSHF425","EVSXSGGSSHF425","Evergreen Suede 2-Sided House Flag - Pool's Open Flip Flops",updated,"Party-Time","Flip-Flops | Party-Time | Pool | Pool-Party | Seasonal | Summer"
"MW33067","MW33067","Magnet Works Pool's Open Garden Flag",updated,"Party-Time","Party-Time | Pool-Party | Summer"
"PR56077","PR56077","Premier Vintage Wine Illuminated Garden Flag",updated,"Party-Time | Wine-Drinks","Food-Wine | Grapes | Party-Time | Summer | Wine-Drinks"
"PR56202","PR56202","Premier Black Cats With Balloons Illuminated Garden Flag",updated,"Party-Time","Balloons | Black-Cats | Cats | Halloween | Jack-O-Lanterns | Party-Time | Pets-Animals | Seasonal | Witches"
"PR56204","PR56204","Strawberry Bouquet PremierSoft Garden Flag",updated,"Wine-Drinks","Bees | Happy-Valentines | Strawberries | Valentines-Day | Wine-Drinks"
"PR56383","PR56383","Premier Valentine Gnome Garden Flag",updated,"Party-Time","Balloons | Garden-Gnomes | Gardens | Hearts | Party-Time | Seasonal | Valentines-Day | Valentines-Love"
"PR57202","PR57202","Premier Black Cats With Balloons Illuminated House Flag",updated,"Party-Time","Balloons | Black-Cats | Cats | Halloween | Jack-O-Lanterns | Party-Time | Pets-Animals | Seasonal | Witches"
"PR57383","PR57383","Premier Valentine Gnome House Flag",updated,"Party-Time","Balloons | Hearts | Party-Time | Seasonal | Valentines-Day"
"PR78691","PR78691","Premier 5 O'Clock Somewhere Windsock (40"")",updated,"5-O-Clock-Somewhere | Party-Time","5-O-Clock-Somewhere | Birds | Flowers | Hibiscus | Parrots | Party-Time | Spring-Flowers | Tropical-Flowers"
"TL0030G","TL0030G","Toland It's Wine Time Garden Flag",updated,"Party-Time | Wine-Drinks","Food-Wine | Party-Time | Summer | Wine-Drinks"
"TL0083G","TL0083G","Toland Happy Birthday Cake Balloons Garden Flag",updated,"Party-Time","Balloons | Birthday | Family-Friends | Party-Time | Sweets"
"TL1110796","TL1110796","Toland Party Owls Garden Flag",updated,"Party-Time","Balloons | Birds | Birthday | Family-Friends | Owls | Party-Time | Presents"
"TL1110938","TL1110938","Toland Happy Hour Lake Garden Flag",updated,"Wine-Drinks","Gardens | Great-Outdoors | Lakes | Trees | Wine-Drinks"
"TL1112277","TL1112277","Toland Rainbow Cake Birthday Garden Flag",updated,"Party-Time","Balloons | Birthday | Family-Friends | Party-Time | Sweets"
"TL1112282","TL1112282","Toland Mardi Gras Confetti Garden Flag",updated,"Mardi-Gras","Fleur-De-Lis | Happy-Mardi-Gras | Mardi-Gras | Seasonal"
"TL119790","TL119790","Red Wine Toland Garden Flag",updated,"Party-Time | Wine-Drinks","Flowers | Party-Time | Summer | Wine-Drinks"
"TL2126G","TL2126G","Toland Balloon Hearts Garden Flag",updated,"Party-Time","Balloons | Hearts | Party-Time | Seasonal | Valentines-Day"
