sku,design_family,design_name,manufacturer,status
AFHFMS0134Q,AFMS0134,"Pink Roses - Monogram A","AF",updated
AFGFMS0135Q,AFMS0135,"Flowery Wood Panel - Monogram A","AF",updated
AFHFMS0135Q,AFMS0135,"Flowery Wood Panel - Monogram A","AF",updated
AFGFMS0136Q,AFMS0136,"Daffodils - Monogram A","AF",updated
AFHFMS0136Q,AFMS0136,"Daffodils - Monogram A","AF",updated
AFGFMS0137Q,AFMS0137,"Bees And Roses - Monogram A","AF",updated
AFHFMS0137Q,AFMS0137,"Bees And Roses - Monogram A","AF",updated
AFGFSP0001Q,AFSP0001,"Sunflower Welcome","AF",updated
AFHFSP0001Q,AFSP0001,"Sunflower Welcome","AF",updated
AFGFSP0002Q,AFSP0002,"Leprechaun Rainbow","AF",updated
AFHFSP0002Q,AFSP0002,"Leprechaun Rainbow","AF",updated
AFGFSP0003Q,AFSP0003,"St. Patty's Pot O' Gold","AF",updated
AFHFSP0003Q,AFSP0003,"St. Patty's Pot O' Gold","AF",updated
AFGFSP0004Q,AFSP0004,"Ladybugs and Sunflowers","AF",updated
AFHFSP0004Q,AFSP0004,"Ladybugs and Sunflowers","AF",updated
AFGFSU0001Q,AFSU0001,"Summer Time Fruits","AF",updated
AFHFSU0001Q,AFSU0001,"Summer Time Fruits","AF",updated
AFGFWR0001Q,AFWR0001,"Let It Snow Backyard Snowmen","AF",updated
AFHFWR0001Q,AFWR0001,"Let It Snow Backyard Snowmen","AF",updated
AFGFWR0002Q,AFWR0002,"Snowman Christmas Tree","AF",updated
AFHFWR0002Q,AFWR0002,"Snowman Christmas Tree","AF",updated
AFGFWR0003Q,AFWR0003,"Let It Snow Watercolor","AF",updated
AFHFWR0003Q,AFWR0003,"Let It Snow Watercolor","AF",updated
AFGFWR0004Q,AFWR0004,"Happy Holidays America","AF",updated
AFHFWR0004Q,AFWR0004,"Happy Holidays America","AF",updated
AFGFWR0005Q,AFWR0005,"Santa is Coming","AF",updated
AFHFWR0005Q,AFWR0005,"Santa is Coming","AF",updated
AFGFWR0006Q,AFWR0006,"Christmas Trees for Sale","AF",updated
AFHFWR0006Q,AFWR0006,"Christmas Trees for Sale","AF",updated
AFGFWR0007Q,AFWR0007,"Stay Warm America","AF",updated
AFHFWR0007Q,AFWR0007,"Stay Warm America","AF",updated
AFGFWR0008Q,AFWR0008,"Just Keep Shovelin'","AF",updated
AFHFWR0008Q,AFWR0008,"Just Keep Shovelin'","AF",updated
AFGFWR0009Q,AFWR0009,"Merry Christmas USA","AF",updated
AFHFWR0009Q,AFWR0009,"Merry Christmas USA","AF",updated
AFGFWR0010Q,AFWR0010,"There's Snow Sun Today!","AF",updated
AFHFWR0010Q,AFWR0010,"There's Snow Sun Today!","AF",updated
AFGFWR0011Q,AFWR0011,"Uncle Snowman","AF",updated
AFHFWR0011Q,AFWR0011,"Uncle Snowman","AF",updated
AFGFWR0012Q,AFWR0012,"Winter Moon","AF",updated
AFHFWR0012Q,AFWR0012,"Winter Moon","AF",updated
AFGFWR0013Q,AFWR0013,"Winter Lamp Warmth","AF",updated
AFHFWR0013Q,AFWR0013,"Winter Lamp Warmth","AF",updated
AFGFWR0014Q,AFWR0014,"Polar Bear Snow Family","AF",updated
AFHFWR0014Q,AFWR0014,"Polar Bear Snow Family","AF",updated
AFGFWR0015Q,AFWR0015,"Snowy Poinsettias","AF",updated
AFHFWR0015Q,AFWR0015,"Snowy Poinsettias","AF",updated
AFGFWR0016Q,AFWR0016,"New Year Starlight","AF",updated
AFHFWR0016Q,AFWR0016,"New Year Starlight","AF",updated
AFGFWR0017Q,AFWR0017,"New Year Cheers","AF",updated
AFHFWR0017Q,AFWR0017,"New Year Cheers","AF",updated
AFGFWR0018Q,AFWR0018,"Happy Valentine's Day","AF",flagged
AFHFWR0018Q,AFWR0018,"Happy Valentine's Day","AF",flagged
AFGFWR0259Q,AFWR0259,"Silver Snowflakes - Monogram A","AF",updated
AFHFWR0259Q,AFWR0259,"Silver Snowflakes - Monogram A","AF",updated
